Product Name,Price,Description
LG OLED 139 cm (55 inch) OLED Ultra HD (4K) Smart WebOS TV,"2,72,199",Operating System: WebOSUltra HD (4K) 3840 x 2160 Pixels Launch Year: 20171 Year LG India Domestic Warranty
SAMSUNG 138 cm (55 inch) Ultra HD (4K) Curved LED Smart Tizen TV,"2,41,599",Operating System: TizenUltra HD (4K) 3840 x 2160 Pixels Launch Year: 20161 Year Manufaturer Warranty
SAMSUNG Q Series 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,"2,24,199",Operating System: TizenUltra HD (4K) 3840 x 2160 Pixels Launch Year: 20181 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel from Samsung
LG 139 cm (55 inch) OLED Ultra HD (4K) Smart WebOS TV,"1,08,999",Operating System: WebOSUltra HD (4K) 3840 x 2160 Pixels Launch Year: 20181 Year LG India Comprehensive Warranty on Product and Additional 1 Year Warranty is Applicable on Panel/Module Only
SAMSUNG Series 7 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV,"1,06,499",Operating System: TizenUltra HD (4K) 3840 x 2160 Pixels Launch Year: 20181 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel from Samsung
LG Nanocell 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV,"1,04,199",Operating System: WebOSUltra HD (4K) 3840 x 2160 Pixels Launch Year: 20201 Year LG India Comprehensive Warranty and Additional 1 Year Warranty is applicable on Panel/Module from the date of purchase
SAMSUNG The Serif Series 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,"1,02,999",Operating System: TizenUltra HD (4K) 3840 x 2160 Pixels Launch Year: 20201 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel
SAMSUNG Series 6 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV,"1,02,199",Operating System: TizenUltra HD (4K) 3840 x 2160 Pixels Launch Year: 20171 Year Warranty on the Product
SAMSUNG QN85BAKL 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,"93,890",Operating System: TizenUltra HD (4K) 3840 x 2160 Pixels Launch Year: 20221 Year Comprehensive Warranty on Product and 1 Year Additional on Panel
"LG OLED A3 139 cm (55 inch) OLED Ultra HD (4K) Smart WebOS TV Alpha77 Gen6 AI Processor, AI Picture Pr...","89,990",Operating System: WebOSUltra HD (4K) 3840 x 2160 Pixels Launch Year: 20233-Year Warranty on Product
SAMSUNG The Frame 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV with Matte Display,"84,990",Operating System: TizenUltra HD (4K) 3840 x 2160 Pixels Launch Year: 20221 Year Comprehensive Warranty on Product and 1 Year Additional on Panel
LG 139 cm (55 inch) Full HD LED Smart WebOS TV,"80,999",Operating System: WebOSFull HD 1920 x 1080 Pixels Launch Year: 20161 Year LG India Comprehensive Warranty on Product and Additional 1 Year Warranty is applicable on Panel/Module
SONY Bravia 138.8 cm (55 inch) Ultra HD (4K) LED Smart Google TV,"71,699",Operating System: Google TVUltra HD (4K) 3840 x 2160 Pixels Launch Year: 20211 year Comprehensive warranty by the manufacture from the date of purchase | Contact Brand toll free number for assistance and provide product's model name and seller's details mentioned on your invoice. The service center will allot you a convenient slot for the service.
MOTOROLA EnvisionX Spectra Mini LED 165 cm (65 inch) Ultra HD (4K) Mini LED Smart Google TV 2024 Editi...,"61,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 Pixels Launch Year: 20241 Year Warranty
MOTOROLA EnvisionX Spectra Mini LED 165 cm (65 inch) Ultra HD (4K) Mini LED Smart Google TV 2024 Editi...,"61,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 Pixels Launch Year: 20241 Year Warranty
MOTOROLA EnvisionX Spectra Mini LED 165 cm (65 inch) Ultra HD (4K) Mini LED Smart Google TV 2024 Editi...,"61,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 Pixels Launch Year: 20241 Year Warranty
MOTOROLA EnvisionX Spectra Mini LED 165 cm (65 inch) Ultra HD (4K) Mini LED Smart Google TV 2024 Editi...,"61,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 Pixels Launch Year: 20241 Year Warranty
SONY Bravia 2 138.8 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2024 Edition,"60,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 Pixels Launch Year: 20241 Year Warranty
SONY Bravia X75L 138.8 cm (55 inch) Ultra HD (4K) LED Smart Google TV,"60,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 Pixels Launch Year: 20231 Year Manufaturer Warranty on the Product
Sansui 140 cm (55 inch) Ultra HD (4K) LED Smart TV,"57,899",Ultra HD (4K) 3840 x 2160 Pixels Launch Year: 20161 Year with additional 2 Years Extended Warranty
LG 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV,"55,990",Operating System: WebOSUltra HD (4K) 3840 x 2160 Pixels Launch Year: 20211 Year Product Warranty Applicable
SONY Bravia X74L 138.8 cm (55 inch) Ultra HD (4K) LED Smart Google TV,"54,990",Operating System: Google TVUltra HD (4K) 3840 x 2160 Pixels Launch Year: 20231 Year Warranty
Hisense U7H 139 cm (55 inch) QLED Ultra HD (4K) Smart VIDAA TV With Full Array Local Dimming,"52,699",Operating System: VIDAAUltra HD (4K) 3840 x 2160 Pixels Launch Year: 20222 Years Warranty on Product
LG UQ8020 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV with ThinQ AI & Magic Remote Control,"51,499",Operating System: WebOSUltra HD (4K) 3840 x 2160 Pixels Launch Year: 20221 Year Product Warranty Applicable
